Contaminant Level (ppm),Population Density (people per km²),Access to Clean Water (% of Population),pH Level,Turbidity (NTU),Rainfall (mm per year),Healthcare Access Index (0-100),Region,Dissolved Oxygen (mg/L),Nitrate Level (mg/L),Temperature (°C),GDP per Capita (USD),Country,Sanitation Coverage (% of Population),Bacteria Count (CFU/mL),"Diarrheal Cases per 100,000 people"
0.88,484,34.88,8.39,1.74,2472,28.28,North,7.41,14.03,10.47,14366,Nigeria,81.56,1384,250
0.26,198,53.29,6.51,4.16,1951,51.18,East,6.86,16.16,32.2,19688,Indonesia,76.86,2156,325
7.91,900,76.33,6.78,1.59,2259,9.31,South,8.68,14.38,29.64,57231,Ethiopia,39.55,4944,479
2.59,286,81.6,6.77,3.16,2595,93.82,North,6.72,6.44,10.14,59429,Brazil,66.91,4396,369
3.41,771,81.69,6.72,4.92,2321,98.39,South,5.47,37.64,36.23,4890,Ethiopia,75.71,1391,479
0.64,835,37.75,7.17,4.38,1334,65.27,Central,4.7,2.31,12.87,75381,Indonesia,43.05,4800,7
1.8,630,91.96,8.47,0.8,1705,74.62,West,3.6,7.53,19.21,6512,Ethiopia,51.86,3142,36
7.66,519,49.66,8.22,2.74,2444,32.37,Central,6.74,5.27,24.37,71919,India,95.76,268,85
4.94,105,44.69,6.82,1.74,2438,86.63,West,9.22,41.27,7.65,54936,Nigeria,52.64,3917,71
8.81,41,73.01,7.06,2.17,2009,90.03,Central,6.6,2.2,24.45,28006,Pakistan,45.23,1524,380
3.97,277,44.83,7.67,1.68,2189,7.69,East,8.17,33.23,28.25,85998,Brazil,28.58,477,485
2.69,757,65.56,6.04,1.68,2898,13.14,South,5.09,2.22,4.06,21048,Bangladesh,47.31,4271,265
3.48,402,58.49,8.05,2.71,693,26.09,West,6.14,39.32,15.17,5151,USA,68.97,238,66
7.13,541,46.24,8.2,0.96,2910,70.37,North,5.27,45.64,24.48,68992,Pakistan,31.82,609,140
5.55,408,50.44,8.14,2.69,2507,18.34,South,3.76,24.34,37.05,29671,USA,68.42,4587,294
9.04,726,59.92,6.94,1.39,368,22.01,North,5.92,40.23,35.64,49525,Nigeria,79.3,4424,63
6.02,247,54.23,7.15,1.44,376,38.19,South,8.35,35.32,6.79,94028,Brazil,81.46,3397,29
4.93,913,56.71,6.03,3.69,1368,61.16,South,5.76,39.78,24.42,91512,China,98.78,4540,387
7.86,542,81.48,7.0,0.15,786,97.63,Central,7.55,38.34,3.92,66695,Bangladesh,54.76,4537,44
9.48,822,41.79,7.15,1.9,254,78.39,West,8.31,10.27,11.76,8305,India,22.59,4890,133
3.56,738,73.93,8.27,2.04,2881,55.83,West,5.26,24.98,23.89,66796,China,88.38,1831,15
2.5,642,77.47,8.23,2.43,2786,4.94,South,8.58,48.02,3.25,96809,Nigeria,26.68,4986,277
6.16,817,86.15,8.42,3.35,2934,51.68,East,5.37,17.18,35.55,34226,Pakistan,88.93,1154,218
4.99,359,89.31,8.21,1.85,335,20.41,East,4.79,48.52,33.16,94103,India,98.62,1751,276
9.89,360,41.11,6.02,1.07,1246,30.01,North,4.56,29.16,18.94,43218,Ethiopia,92.55,3598,220
4.62,783,39.68,7.6,4.42,737,25.09,North,4.4,23.08,19.67,39108,Indonesia,97.12,2485,192
0.74,776,73.03,6.17,4.91,2409,34.74,Central,8.16,32.89,35.25,4908,India,21.87,3338,157
9.77,20,82.98,6.68,0.1,2407,6.23,South,9.21,40.79,2.02,67891,Nigeria,20.91,2333,23
8.44,73,49.06,7.45,2.73,2765,57.68,North,4.61,19.71,5.76,93821,Mexico,36.82,4386,319
1.78,947,66.81,7.75,1.71,1928,4.58,North,3.6,1.65,12.32,82774,Indonesia,83.9,4463,140
9.05,131,84.06,7.64,1.38,1600,66.06,South,5.2,35.44,14.58,71657,USA,27.15,4581,221
3.41,196,83.73,6.12,1.68,514,73.08,Central,7.6,47.81,39.5,62553,Bangladesh,79.72,167,25
3.77,401,75.77,6.26,3.19,2937,48.61,North,5.58,31.25,5.9,53846,USA,21.0,3542,97
9.06,209,35.52,6.32,0.95,907,78.13,Central,6.84,9.42,12.12,93050,India,78.49,4009,275
5.3,64,33.55,6.23,4.56,1440,96.74,West,8.21,12.41,33.12,69198,USA,40.01,77,60
1.38,391,57.19,6.45,2.33,463,34.01,Central,5.86,45.49,31.37,86300,Nigeria,55.24,2898,379
3.69,304,31.87,7.72,1.63,1775,61.89,East,10.0,0.68,26.19,74431,Ethiopia,98.12,1108,242
7.22,956,93.29,8.08,3.83,2587,32.37,East,5.09,27.44,13.14,53617,Pakistan,64.14,891,389
1.74,64,31.41,7.02,0.08,661,44.34,Central,9.85,7.93,4.71,59617,Bangladesh,25.97,4756,426
5.9,853,32.07,7.73,2.16,2247,2.08,East,4.42,14.14,39.34,66644,USA,89.85,1224,432
6.95,652,41.57,6.5,1.78,1384,7.43,West,3.78,15.35,10.06,27756,USA,45.89,4684,8
3.44,436,73.89,8.43,1.69,513,79.75,South,8.26,10.96,33.79,8576,India,66.83,564,383
6.94,950,67.91,6.87,1.69,1083,13.99,East,7.92,39.62,35.8,34408,Pakistan,76.94,2859,356
8.84,89,76.16,8.11,0.16,330,69.92,East,8.68,16.61,17.64,12853,China,82.2,301,420
4.72,649,92.55,8.36,0.76,2326,70.89,Central,5.41,17.27,34.03,92790,USA,54.6,4389,271
3.83,498,61.85,8.16,0.71,866,99.62,West,9.52,22.65,11.16,70910,Nigeria,81.85,108,259
2.51,740,33.07,6.17,4.94,1690,69.56,South,3.84,45.11,35.6,71032,Mexico,29.35,2412,31
6.04,281,83.44,7.63,0.11,264,12.87,Central,3.21,34.41,25.44,87343,Bangladesh,62.05,2647,339
8.8,270,86.84,6.3,0.84,768,62.65,Central,5.1,3.09,7.77,46965,USA,21.75,2725,92
3.25,260,33.49,6.01,4.87,1642,52.41,West,8.58,1.96,31.46,8673,Nigeria,52.5,3338,478
3.96,305,47.0,6.13,3.14,2216,91.74,South,7.71,28.32,36.55,39503,Nigeria,49.18,2140,127
4.07,981,83.94,8.29,2.25,1146,69.02,West,6.05,44.35,22.82,5696,Bangladesh,98.25,4523,236
5.61,844,56.33,8.27,0.39,251,51.85,South,4.79,16.16,30.41,8417,China,51.83,4733,16
2.28,748,63.09,6.56,3.35,1143,62.42,West,3.41,12.39,31.79,48879,Nigeria,92.57,3813,40
8.22,182,87.62,7.37,0.69,1727,44.35,Central,5.36,37.41,31.5,66774,Mexico,54.82,4200,472
2.96,908,36.62,8.39,3.36,2584,50.84,Central,6.22,30.1,18.18,80219,Nigeria,62.67,2256,300
7.05,262,77.41,7.24,4.9,338,72.23,North,7.81,28.25,29.6,89907,Nigeria,48.06,3645,271
5.13,936,45.05,6.98,2.66,591,7.83,East,7.52,7.47,21.94,11392,Nigeria,71.2,3059,275
5.86,545,34.39,7.21,1.07,433,61.53,West,9.63,8.8,16.59,64041,Ethiopia,79.13,2521,41
1.8,498,76.37,7.98,3.13,631,8.82,North,3.7,14.09,6.63,36991,Ethiopia,83.28,3417,265
7.35,806,38.5,7.19,2.56,487,85.51,East,5.35,10.34,36.36,1157,China,75.52,11,51
1.89,135,82.29,7.96,2.67,2276,94.25,West,6.37,48.57,16.6,89732,USA,46.4,4744,187
1.13,777,44.19,7.08,2.39,1329,78.02,South,7.69,0.93,9.58,85146,Nigeria,46.45,3266,431
5.47,448,33.4,6.63,3.37,807,71.8,East,6.47,31.3,9.69,75337,Pakistan,47.83,3145,150
7.09,298,36.95,6.82,2.86,2751,94.37,Central,9.39,25.88,9.68,52864,USA,23.03,874,243
0.5,188,88.89,6.19,4.93,832,21.85,North,7.26,16.16,0.1,23072,China,95.44,2433,288
0.69,89,55.97,7.24,4.13,815,22.88,East,3.28,44.38,17.53,96371,Brazil,35.66,883,490
8.03,106,51.16,6.37,1.32,2124,48.1,East,3.8,33.51,35.63,24921,USA,32.74,4650,126
8.09,723,64.38,8.03,3.63,2900,0.75,Central,8.27,49.92,1.01,2664,USA,64.19,3985,204
2.45,39,74.31,7.05,1.07,2545,96.51,West,8.01,8.43,38.26,54792,Indonesia,23.79,1579,408
6.15,582,32.6,7.91,3.91,1489,3.23,South,4.07,4.39,7.16,70667,India,87.03,3771,305
4.43,453,92.87,8.39,0.74,1377,59.61,Central,3.41,6.97,28.75,63439,Indonesia,90.1,352,356
6.33,684,97.09,8.12,2.37,993,35.4,South,7.05,13.46,31.41,21398,Mexico,51.82,1506,99
8.63,272,59.21,8.38,3.95,2972,10.3,West,7.45,20.84,29.4,32232,Ethiopia,97.71,3487,343
0.8,399,58.88,7.42,1.4,1118,2.46,East,3.95,43.13,13.57,62937,Ethiopia,45.94,2851,453
7.78,664,91.5,6.41,4.19,1299,26.24,South,6.32,14.18,28.15,93987,India,40.82,2029,78
4.93,873,60.05,8.34,3.22,959,10.67,North,5.14,45.76,18.92,89045,Bangladesh,99.18,1846,182
5.64,75,89.93,8.17,1.99,1025,94.03,North,9.52,23.15,6.09,45098,Bangladesh,40.02,2390,97
6.54,745,31.98,8.16,2.12,2347,24.48,Central,4.53,32.35,8.04,5696,China,55.54,4030,67
9.23,741,64.28,7.73,4.63,2151,9.41,West,8.13,13.22,1.04,34189,India,68.95,3438,333
0.57,862,96.67,7.56,1.09,473,76.97,Central,6.63,7.8,13.28,87207,USA,45.8,2383,387
0.29,794,47.7,6.04,3.47,2545,41.43,Central,3.08,43.47,29.12,63048,Bangladesh,50.74,3367,27
1.78,540,48.63,7.87,3.54,411,84.37,Central,6.62,5.48,38.76,95519,Nigeria,77.66,4980,28
9.86,279,74.11,6.23,4.61,1155,83.84,North,3.7,38.7,5.34,28615,Pakistan,77.84,1465,337
7.15,58,94.83,6.65,3.57,2536,99.24,North,7.61,29.05,14.13,88190,USA,84.29,2151,121
6.15,828,43.91,7.38,2.92,2456,80.38,Central,6.96,43.06,7.26,53989,Mexico,67.5,3483,211
0.47,43,94.52,7.13,4.51,1794,21.42,North,3.07,35.89,30.44,86449,Nigeria,38.68,573,175
8.79,249,76.41,6.04,4.15,2859,58.64,West,4.43,14.08,36.78,9779,Nigeria,46.65,774,104
8.13,605,99.51,8.06,3.58,896,52.63,Central,8.43,28.72,4.56,93778,India,92.06,3365,479
6.65,926,81.55,8.2,0.16,2693,50.82,North,4.93,0.65,36.14,39045,China,78.7,4338,71
3.39,697,76.75,7.7,1.87,2438,29.68,South,6.49,23.76,10.86,23425,Mexico,27.04,3930,490
0.71,844,87.04,7.35,3.16,2918,21.01,Central,5.18,4.3,8.92,23915,Bangladesh,80.29,2680,109
5.8,323,42.26,8.4,2.61,1902,71.69,Central,9.45,21.45,2.27,68132,India,46.45,4960,112
7.2,855,96.22,6.3,1.6,796,10.18,West,6.76,5.48,3.22,6072,Bangladesh,21.86,2220,396
0.94,158,41.59,7.84,0.72,2520,4.96,East,7.87,47.77,2.77,84612,India,58.7,1439,231
6.34,804,31.8,6.32,2.76,488,38.12,East,3.58,26.15,17.86,78721,India,90.67,713,493
2.86,464,78.85,6.95,1.43,2439,74.39,West,3.28,45.66,26.35,29942,India,55.55,575,42
7.64,166,42.92,7.46,1.17,465,86.85,West,4.81,1.12,7.38,87186,China,99.1,2981,264
5.4,914,83.11,7.84,1.99,1035,54.01,West,5.16,31.88,8.71,30924,India,34.25,69,295
1.29,241,85.65,6.01,3.93,2490,83.99,East,7.81,15.35,6.92,91039,Brazil,48.07,3764,45
5.27,216,46.57,6.65,2.44,877,2.53,West,6.98,21.59,32.26,19972,Pakistan,21.33,4938,494
3.96,181,36.07,7.35,1.08,1191,45.54,North,5.62,43.65,5.49,70212,Bangladesh,24.03,2376,57
1.8,421,65.06,7.33,0.58,880,13.34,Central,7.58,49.0,2.94,76459,USA,48.35,2205,224
8.42,175,92.32,7.59,2.49,2459,58.27,Central,4.14,12.32,1.47,39878,Indonesia,62.27,917,439
0.11,792,89.31,6.76,3.97,900,92.1,South,3.44,47.41,1.61,23117,Mexico,38.97,2745,139
3.12,536,38.2,7.35,3.26,1110,0.72,South,8.98,34.44,21.87,58552,Ethiopia,33.32,742,100
0.13,935,97.53,6.47,1.16,1019,66.82,Central,6.95,47.57,3.76,64629,China,53.65,4150,280
0.96,514,48.48,6.47,2.18,2255,79.23,North,7.54,28.12,8.9,20547,USA,33.65,2533,237
2.97,553,54.46,7.44,4.28,1663,74.45,East,5.15,48.04,33.31,58046,Nigeria,70.47,1837,88
0.54,561,40.43,7.71,0.89,1833,1.98,East,5.6,44.62,38.72,52954,Brazil,96.42,1376,245
5.97,85,56.45,6.3,2.66,785,17.39,North,3.58,6.43,34.43,29770,Ethiopia,84.52,409,399
0.87,221,74.49,6.31,1.78,277,9.44,East,9.0,15.54,38.38,49366,Indonesia,37.22,3007,178
7.02,612,65.43,7.41,0.62,1091,8.55,West,7.15,12.15,26.82,53753,USA,96.09,2952,379
0.53,779,87.93,6.68,0.25,2946,73.02,Central,3.59,28.6,39.49,43864,Ethiopia,80.09,4242,463
0.59,754,74.89,6.98,2.78,2132,42.48,Central,8.63,40.14,19.85,3717,USA,32.4,1679,230
3.05,31,48.45,7.0,0.1,2243,72.48,North,6.11,37.97,31.79,76330,Brazil,66.35,1714,98
8.97,163,69.02,6.45,0.52,2818,36.08,East,8.36,36.34,38.87,6316,Indonesia,97.32,1197,214
6.41,433,34.49,6.0,1.74,2852,11.7,South,3.09,18.76,28.37,41606,Nigeria,27.74,2337,199
7.7,657,70.66,8.13,0.22,2309,71.85,South,3.2,6.98,38.27,37949,India,41.68,3216,255
1.42,301,57.28,7.79,2.0,1358,62.61,East,4.2,10.53,10.15,65662,Bangladesh,49.93,2956,436
8.34,419,36.89,7.73,0.65,2675,11.3,South,4.48,37.08,12.01,91347,Nigeria,29.25,3193,493
0.08,622,51.52,7.37,1.75,2730,92.44,North,8.35,7.38,15.89,98011,India,43.94,26,435
2.13,602,92.87,7.75,3.96,1029,30.89,North,7.95,11.15,18.58,81863,China,75.39,3137,194
6.16,130,71.02,8.34,3.13,1964,65.47,East,7.31,21.23,35.9,91306,Pakistan,58.18,2973,379
3.75,520,93.23,7.66,2.23,1291,3.2,South,9.19,3.61,35.51,46675,Mexico,53.69,3165,23
9.84,656,58.76,6.66,0.46,1685,44.3,North,4.73,10.63,26.32,8158,Mexico,54.56,1090,362
0.3,521,98.52,7.43,3.1,964,96.44,North,9.33,7.49,9.29,72088,Bangladesh,80.77,249,469
9.99,394,55.2,7.11,0.82,2701,88.65,West,9.37,47.57,9.62,66889,Indonesia,99.3,141,269
6.24,740,82.98,7.39,0.38,216,22.13,West,6.04,9.58,25.27,66283,Brazil,67.09,266,277
5.59,243,51.38,7.29,3.32,351,87.91,North,3.66,43.09,20.14,47104,Indonesia,80.12,4310,225
0.6,227,37.42,8.15,4.56,660,29.31,East,8.09,5.74,10.34,81465,Brazil,49.8,488,227
2.73,425,88.31,7.63,2.3,447,85.22,Central,5.36,43.48,6.73,23376,Indonesia,88.85,495,127
9.25,471,83.38,6.47,0.2,2404,72.92,Central,8.56,29.97,28.91,37805,Pakistan,53.63,479,30
3.54,348,87.44,6.16,4.4,799,35.21,North,4.15,42.49,32.53,76531,China,94.81,2690,340
6.62,786,50.98,7.06,0.33,297,91.08,North,6.78,43.37,10.45,42869,China,79.48,4096,250
9.99,756,79.26,6.04,4.34,1301,48.53,North,6.56,29.82,17.0,93164,India,76.6,3080,57
2.63,580,45.39,6.8,1.96,738,31.77,East,3.7,45.88,28.54,77999,Ethiopia,43.21,4936,324
5.76,949,30.79,6.92,1.83,495,27.97,West,5.54,29.27,18.77,68499,China,83.69,2427,146
6.96,586,90.65,6.94,2.71,2128,93.91,North,3.59,35.63,38.45,15154,China,28.42,843,105
1.65,255,66.65,8.45,4.79,2647,75.86,North,6.25,20.8,5.18,75213,Nigeria,63.04,3215,436
1.49,158,98.86,6.76,4.49,2260,34.99,South,8.9,45.7,34.17,62937,Nigeria,78.83,3911,84
4.56,903,56.95,6.66,2.35,637,25.42,East,4.89,41.21,12.24,55433,India,90.69,4077,1
3.86,413,96.98,6.32,3.48,1622,21.16,North,8.35,8.34,27.48,72509,Ethiopia,65.57,2349,436
7.14,698,73.05,7.28,2.9,2219,24.45,South,4.28,28.82,10.15,65143,Bangladesh,40.67,649,450
0.7,512,65.85,6.38,3.47,864,11.1,Central,7.72,44.84,38.66,22250,Nigeria,87.91,1893,302
9.72,393,51.2,7.54,4.15,2647,48.47,North,9.41,39.65,2.01,69170,Bangladesh,81.44,2856,370
0.14,42,87.77,6.39,0.17,2621,4.11,North,5.27,48.13,20.54,49309,USA,32.29,3250,52
6.01,411,88.02,7.44,1.63,1203,1.15,South,9.3,11.57,36.42,70036,Nigeria,89.79,2386,440
5.63,434,59.19,8.07,4.8,758,61.81,East,6.54,18.37,18.79,59776,Pakistan,96.79,1725,221
1.35,666,80.91,6.11,4.75,2732,8.85,North,5.22,25.36,33.61,16673,Ethiopia,63.02,1354,481
1.51,897,61.31,7.05,0.06,2664,84.52,Central,9.28,11.63,37.99,8170,India,23.07,1293,24
7.93,278,81.78,7.15,1.01,1307,10.67,North,3.22,19.7,2.71,75648,USA,93.25,3046,34
8.88,762,99.59,7.98,4.97,865,54.27,Central,3.2,26.88,19.55,21780,Ethiopia,29.82,3258,156
2.83,308,48.37,7.17,2.46,682,67.55,West,7.2,9.57,27.46,49774,Pakistan,70.65,2713,459
4.38,122,74.38,7.42,2.86,1038,22.92,West,8.58,12.83,33.29,51969,Ethiopia,52.07,403,342
3.55,850,56.59,7.98,0.83,2164,88.83,Central,8.26,6.24,6.53,23757,Pakistan,99.36,3972,475
0.73,513,68.39,7.4,4.47,305,48.14,East,3.56,35.67,22.67,42145,Pakistan,93.37,4032,365
6.73,330,91.19,6.9,1.16,1432,31.53,North,9.65,18.08,6.52,67697,Bangladesh,82.76,1546,144
8.25,928,54.33,6.21,0.95,1906,90.11,North,7.92,11.01,30.22,59764,Indonesia,35.94,2606,335
3.05,49,35.07,7.82,1.14,990,85.83,West,9.64,25.37,11.39,7982,USA,75.94,2825,432
9.9,683,85.93,8.18,4.6,1011,70.96,Central,5.3,3.41,10.75,19759,Ethiopia,65.77,1852,439
0.76,557,68.85,8.43,3.51,1049,29.05,North,7.86,46.17,30.79,61476,Brazil,30.83,4206,456
6.62,955,61.46,8.32,3.84,369,39.02,North,9.02,14.72,33.68,95043,USA,83.57,812,386
4.48,374,42.83,7.99,1.89,2757,68.97,East,5.66,44.32,13.73,89311,Indonesia,26.92,3374,277
4.47,215,36.5,7.61,4.55,549,18.53,South,9.75,24.88,20.04,95568,USA,58.53,929,478
4.58,895,49.51,7.95,3.95,1899,49.51,West,4.85,42.51,27.74,78128,China,54.13,4981,397
2.59,990,80.32,7.08,3.75,1814,73.77,West,5.21,12.35,29.81,64243,Brazil,84.5,4075,386
7.16,244,58.82,7.49,4.85,2713,65.77,South,9.44,8.76,30.8,35431,Indonesia,54.21,3323,293
7.22,116,69.92,6.87,1.83,2208,71.99,North,9.79,42.47,15.62,19722,Bangladesh,75.54,174,342
2.82,606,35.74,6.82,3.05,2132,89.19,East,5.0,10.65,21.45,85880,Ethiopia,58.26,1363,276
8.35,101,38.63,7.89,4.55,1951,96.83,East,3.95,37.31,4.38,40520,Mexico,66.56,2895,178
3.17,745,30.79,7.13,3.95,1304,45.84,West,8.31,17.23,37.94,59763,Indonesia,39.28,1037,279
7.25,423,77.13,6.53,2.82,648,6.0,East,9.51,37.41,28.06,79511,India,36.2,3011,351
1.21,49,48.51,6.5,0.38,2879,83.44,South,7.2,45.38,15.02,99358,Ethiopia,76.79,2090,300
1.69,405,97.68,8.15,3.26,1324,11.8,North,7.44,49.08,15.58,11899,Indonesia,29.79,460,196
3.16,614,51.59,7.69,2.63,1592,21.94,South,8.34,17.99,3.62,41193,China,34.08,2752,224
5.94,906,55.45,7.37,0.92,2018,65.32,Central,4.07,18.38,18.28,93901,Mexico,95.28,148,427
6.46,483,62.86,7.0,4.41,1883,74.57,West,9.81,49.07,26.92,70044,China,40.27,4433,46
3.96,793,52.34,7.08,1.72,2055,69.46,East,5.55,43.08,38.1,54253,Mexico,45.86,1133,184
0.78,475,87.22,6.14,1.94,964,43.85,Central,7.4,2.25,25.9,2316,India,70.66,353,402
3.74,874,91.33,7.14,3.36,1488,91.81,East,6.28,28.67,26.03,73575,Ethiopia,55.23,1107,161
6.89,315,30.77,7.99,2.44,2449,83.22,North,6.28,9.06,31.46,47837,Bangladesh,64.72,2602,130
6.71,755,75.83,6.97,0.45,1341,66.37,North,7.92,49.7,20.39,64762,China,31.57,2113,294
1.6,52,78.03,6.96,1.94,1346,44.11,North,9.96,6.95,1.29,81510,China,73.79,4094,91
0.08,864,97.3,6.04,0.47,1248,46.38,East,7.61,27.97,35.59,49840,Pakistan,32.53,3685,74
7.53,965,55.93,7.14,0.95,2616,17.6,Central,8.56,33.26,16.1,51092,Mexico,79.82,3206,443
1.06,142,43.67,6.06,0.04,584,77.97,North,3.19,46.85,39.39,34488,Nigeria,61.89,1109,137
0.82,926,66.44,7.43,0.91,1794,86.6,Central,8.67,42.36,16.26,89087,Ethiopia,85.3,4179,167
0.03,586,61.33,7.27,1.65,2155,82.73,East,5.1,12.29,26.73,14447,Mexico,33.81,1977,257
4.33,360,85.42,8.1,2.69,2521,54.71,Central,3.89,28.63,18.39,63519,Pakistan,50.2,226,237
5.03,603,93.28,7.45,4.6,2582,83.79,East,3.79,47.68,9.3,10753,USA,87.75,2939,44
6.38,158,36.07,6.81,2.7,733,79.04,East,7.76,36.79,37.23,30138,Mexico,83.9,1012,486
2.96,80,89.26,7.29,3.53,2591,83.24,West,9.98,34.42,25.09,16104,Bangladesh,97.26,4115,410
7.1,330,93.63,7.75,1.79,1362,98.19,East,7.66,37.75,18.02,34983,Ethiopia,37.76,3106,308
1.69,800,94.69,6.23,3.76,306,81.0,East,4.84,16.13,5.77,81697,Pakistan,63.12,3936,136
8.32,612,83.5,7.55,3.1,1121,27.07,South,4.42,36.46,39.96,14748,USA,21.43,2802,102
5.72,453,81.95,8.29,2.3,2593,82.09,North,6.68,11.64,35.81,41077,Brazil,97.22,1466,128
5.84,907,31.04,6.75,0.97,909,37.56,West,3.46,21.41,16.91,97188,Pakistan,34.01,2988,160
2.1,776,94.41,7.57,1.52,1192,51.62,West,5.8,44.5,6.86,39378,Brazil,92.38,269,37
0.74,171,54.61,8.05,3.1,646,79.64,West,7.66,0.95,1.19,83031,Ethiopia,74.27,3806,56
4.65,834,32.88,7.28,2.13,2709,31.67,South,9.77,20.72,6.07,76737,China,94.95,1531,160
6.16,793,58.91,7.79,4.45,1272,2.61,East,5.98,13.34,21.38,28001,Pakistan,39.86,303,175
0.95,369,81.3,6.78,1.17,2904,71.81,North,4.4,9.93,32.63,99087,India,47.61,4905,258
9.51,467,60.94,6.77,0.37,538,90.22,Central,8.72,41.93,14.54,3170,Brazil,33.15,1932,287
9.8,861,83.06,7.67,2.95,2943,92.79,East,8.21,34.82,17.36,61938,Bangladesh,53.79,2040,460
5.45,697,65.66,7.76,4.43,222,79.89,South,9.02,5.63,18.93,15635,India,95.8,4021,404
9.5,802,50.96,8.34,1.82,1267,93.51,East,4.5,24.72,0.7,92239,Indonesia,65.69,141,323
1.79,205,44.2,6.56,3.24,1994,82.07,East,5.83,23.35,7.08,51263,Indonesia,53.29,808,144
0.25,169,59.48,7.17,1.16,636,3.01,South,9.87,7.13,20.04,58560,USA,45.99,947,425
0.39,515,32.51,6.63,2.79,1108,34.97,West,4.11,39.99,11.18,46089,China,66.78,3951,67
5.88,822,59.58,6.2,3.93,1292,33.61,West,7.7,18.33,20.93,42141,Ethiopia,77.86,3412,339
0.62,101,34.8,7.01,4.34,793,21.92,North,4.66,38.1,4.32,77667,Pakistan,52.54,2292,267
9.59,689,91.39,6.94,0.53,2760,79.79,North,6.5,9.6,32.11,40432,Nigeria,38.47,765,217
1.42,662,70.28,6.68,1.78,1196,52.01,West,8.6,15.75,31.35,81552,Bangladesh,66.8,2923,300
3.05,270,75.22,6.74,3.2,476,83.63,Central,6.42,4.76,26.79,31953,Brazil,49.25,938,163
8.23,154,50.22,6.9,0.17,691,60.13,East,8.64,7.17,21.26,47159,Ethiopia,99.55,2496,335
2.19,248,45.81,8.47,3.45,282,59.06,Central,5.98,44.16,15.6,37524,India,55.28,3562,178
2.43,80,79.55,7.96,2.64,2349,38.41,East,10.0,5.46,27.31,86689,Indonesia,54.76,1262,390
6.42,915,77.01,6.18,1.44,1449,78.96,West,6.05,4.79,31.27,81945,Bangladesh,87.16,542,416
2.76,484,38.59,8.18,4.07,667,68.31,North,4.05,47.02,32.34,26435,Nigeria,40.08,2679,47
2.17,708,46.7,7.58,1.45,1364,33.88,North,5.81,32.3,13.9,68109,Pakistan,25.28,2954,193
2.54,556,96.26,8.23,4.96,1197,99.36,Central,8.2,5.05,7.76,28651,USA,88.31,2931,288
4.91,928,51.29,6.85,4.08,2579,46.28,North,8.94,48.59,13.67,36638,Nigeria,67.12,2781,205
9.66,705,31.81,7.16,3.54,1152,31.66,West,6.22,7.36,0.31,68520,Bangladesh,40.81,4239,83
8.32,665,34.46,8.24,0.31,1492,68.78,Central,7.16,38.32,16.93,40170,Nigeria,47.42,2991,100
2.85,317,84.28,6.68,4.52,1567,22.28,East,8.91,1.74,10.94,40673,Bangladesh,54.05,2612,154
3.63,676,83.0,8.29,3.95,1199,83.06,North,8.69,31.23,31.6,28481,Bangladesh,74.43,3648,46
4.65,408,56.73,8.07,1.15,293,68.04,South,7.6,27.34,26.99,3884,Mexico,57.45,1199,233
9.79,711,40.72,8.45,1.96,1122,87.01,North,8.71,10.4,1.04,60916,Brazil,51.67,2117,340
1.72,783,64.87,6.81,1.34,2109,32.91,East,7.03,32.16,5.77,82942,Indonesia,82.44,2680,449
3.57,112,53.23,6.59,4.92,1411,85.44,Central,3.03,30.85,21.69,18577,Mexico,25.75,2848,298
7.29,289,56.18,6.83,4.27,2753,50.09,East,3.29,39.92,24.72,70219,Pakistan,72.2,4688,335
9.64,764,48.27,8.39,4.65,2829,5.92,South,9.86,43.79,30.76,92901,Mexico,55.91,4662,146
1.56,608,34.4,6.83,3.94,2559,19.42,West,4.01,25.51,38.73,81380,China,46.79,4786,195
2.27,142,85.38,7.41,2.28,2079,21.76,North,5.83,24.51,28.08,99401,China,94.21,3681,393
2.26,720,73.28,7.01,1.03,2004,76.8,Central,9.54,31.08,21.8,96754,Indonesia,82.23,3495,21
0.21,95,88.42,6.99,1.04,1358,20.31,West,4.37,36.46,16.58,7995,Nigeria,37.54,664,459
6.04,614,65.22,6.48,0.76,1325,56.19,East,8.91,17.81,29.53,92770,Brazil,72.19,4501,193
6.71,190,98.95,7.34,2.73,557,65.25,Central,8.73,25.23,37.39,65731,Indonesia,85.78,3162,385
6.03,680,97.38,8.12,4.6,341,77.39,West,9.9,29.26,16.92,84756,Bangladesh,99.15,3365,488
0.71,44,49.02,6.12,4.96,1994,78.39,Central,4.97,49.42,23.39,55869,India,75.87,1416,363
0.69,515,57.09,8.22,1.44,2418,71.76,South,5.21,29.39,8.28,65772,Brazil,75.26,3108,353
2.1,619,82.69,7.66,3.49,2259,21.32,South,9.32,11.21,34.3,31327,Brazil,69.06,516,273
2.9,668,84.36,7.54,2.99,1278,54.35,North,4.64,29.4,28.54,24567,Bangladesh,23.2,849,383
7.87,43,93.75,7.56,2.44,701,29.02,North,6.84,40.97,14.19,84134,Bangladesh,66.8,1901,207
1.59,487,75.68,6.74,3.33,1180,77.51,South,7.95,42.87,34.96,94350,USA,84.4,907,274
0.44,732,63.26,7.04,1.86,2178,74.81,Central,4.9,40.01,38.83,13588,Indonesia,51.63,315,494
3.94,475,56.44,8.0,4.72,1085,22.96,South,9.57,44.41,11.54,11476,Bangladesh,66.96,3243,216
